_TYPE_,_FREQ_,sev_mild,sev_mod,sev_sev,age,female,Sev,t,adj_surv,adj_surv_se
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mild,0,1,
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mild,7.6849315068,0.9654857727,0.033948144
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mild,9.7616438356,0.8849011057,0.083358892
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mild,11.024657534,0.4740410661,0.3444634742
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mild,14.843835616,1.7497254E-8,5.1092424E-7
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,0,1,
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,1,0.983360949,0.0168117062
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,1.4328767123,0.966432239,0.0241941122
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,1.5260273973,0.9491799888,0.030122062
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,1.6465753425,0.9315498518,0.0353243799
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,2.6410958904,0.9137946419,0.0399772683
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,3.0164383562,0.8954042993,0.0444734258
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,3.2356164384,0.8768752698,0.0486535116
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,4.8712328767,0.8507858377,0.0555362229
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,4.9753424658,0.8249538245,0.0614876294
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,5.9945205479,0.7917892368,0.0696108538
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,6.7232876712,0.7566098716,0.0774419183
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Mod,11.539726027,0.0010201451,0.0106356534
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,0,1,
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,0.701369863,0.9692881066,0.0310246601
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,0.7616438356,0.9380550442,0.0446029769
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,0.9150684932,0.9058526269,0.0556593244
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,1.4657534247,0.8699251948,0.0667518899
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,1.495890411,0.8328109226,0.0766432146
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,1.9452054795,0.7899090024,0.0874141615
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,2.6493150685,0.7461647337,0.0968868606
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,2.997260274,0.6992747311,0.1057025672
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,3.1095890411,0.6494260904,0.1137459657
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,4.8,0.5728606615,0.1300280087
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,5.2082191781,0.4917214572,0.1406228848
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,6.4821917808,0.4055051954,0.1450862466
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,6.5068493151,0.3233295108,0.143079012
0,129,0.503875969,0.3410852713,0.1550387597,2.2934055432,0.2868217054,Severe,6.9835616438,0.2125226117,0.133968267
